Timestamp,Action,Previous_Model,New_Model,Source
2026-08-05 10:26:38,STARTUP,,SRG14-WS,config
2026-08-05 10:26:51,STARTUP,,SRG14-WS,config
2026-08-05 10:29:08,STARTUP,,SRG14-WS,config
2026-08-05 10:30:16,STARTUP,,SRG14-WS,config
2026-08-05 10:31:05,STARTUP,,SRG14-WS,config
2026-08-05 10:32:02,CHANGE,SRG14-WS,500D,manual
2026-08-05 10:32:29,STARTUP,,500D,config
2026-08-05 10:32:50,STARTUP,,500D,config
2026-08-05 10:37:25,STARTUP,,500D,config
2026-08-24 05:09:40,STARTUP,,500D,config
2026-08-24 05:29:28,STARTUP,,500D,config
2026-08-24 07:06:38,STARTUP,,500D,config
2026-08-24 07:06:48,STARTUP,,500D,config
2026-08-24 07:07:07,STARTUP,,500D,config
2026-08-24 07:08:33,STARTUP,,500D,config
2026-08-24 07:08:41,STARTUP,,500D,config
2026-08-24 07:10:20,STARTUP,,500D,config
2026-08-24 07:10:57,STARTUP,,500D,config
2026-08-24 07:16:12,STARTUP,,500D,config
2026-08-24 07:16:19,STARTUP,,500D,config
2026-08-24 07:16:26,STARTUP,,500D,config
2026-08-24 07:16:33,STARTUP,,500D,config
2026-08-24 07:16:40,STARTUP,,500D,config
2026-08-24 08:15:28,STARTUP,,500D,config
2026-08-24 08:21:01,STARTUP,,500D,config
2026-08-24 08:21:17,STARTUP,,500D,config
2026-08-24 08:39:37,STARTUP,,500D,config
